time_s,true_x_m,true_y_m,ideal_x_m,ideal_y_m,noise_x_m,noise_y_m,multipath_x_m,multipath_y_m,outage_x_m,outage_y_m,urban_x_m,urban_y_m,error_noise_m,error_multipath_m,error_outage_m,error_urban_m,noise_x_corrected,noise_y_corrected,multipath_x_corrected,multipath_y_corrected,outage_x_corrected,outage_y_corrected,urban_x_corrected,urban_y_corrected,error_noise_corrected_m,error_multipath_corrected_m,error_outage_corrected_m,error_urban_corrected_m,noise_x_kf,noise_y_kf,multipath_x_kf,multipath_y_kf,outage_x_kf,outage_y_kf,urban_x_kf,urban_y_kf,error_noise_kf_m,error_multipath_kf_m,error_outage_kf_m,error_urban_kf_m,true_vx_mps,true_vy_mps,ins_vx_mps,ins_vy_mps,ins_x_m,ins_y_m,error_ins_m,fused_x_m,fused_y_m,error_fused_m
94,75.2,11.021559284341077,75.2,11.021559284341077,74.41578369373569,13.38043952578365,71.2003069697436,8.57715084898334,74.41578369373569,13.38043952578365,82.29612816796431,10.215837009052638,2.485822038778926,4.687502206413321,2.485822038778926,7.141724116841289,74.81156634229657,11.397085605488494,71.22027629014994,8.573592824207077,74.81156634229657,11.397085605488494,79.89364273385002,13.150754299094976,0.540278376683149,4.67233780849413,0.540278376683149,5.154003640266067,59.782574768981405,17.037611429574007,57.84050942980809,14.38834630506901,59.782574768981405,17.037611429574007,48.08200975806615,15.792928945714479,16.549618852656717,17.68296263920512,16.549618852656717,27.534548538283577,0.7999999999999972,-0.5191545491584559,0.7797483857100448,-0.8052202521469087,78.80198581588004,6.493671080238444,5.785851139344389,75.731644330379,11.314408992120088,0.6069651105050292
95,76.0,10.499560246850887,76.0,10.499560246850887,73.07297010373577,9.561208942641478,72.00282884409849,8.126657111107637,73.07297010373577,9.561208942641478,79.60141260290148,12.714010214663706,3.073761081108304,4.64844560484375,3.073761081108304,4.2277608016873165,75.33627161832787,10.702841621069746,72.02278557350931,8.123899540702608,75.33627161832787,10.702841621069746,80.67358154897367,13.607203153110422,0.6941604149916729,4.632709615875207,0.6941604149916729,5.612469058064584,60.43075571110903,16.672982576508005,58.531214657865675,14.082959783538028,60.43075571110903,16.672982576508005,48.86610050304494,15.716336387998737,16.7485077241966,17.83253244968579,16.7485077241966,27.630838843902435,0.8000000000000043,-0.5245861455594296,0.9846671688382657,-0.6057130344181499,79.78665298471832,5.8879580458202945,5.9670441331723305,75.08707496803054,8.459233673595122,2.2352549383750526
96,76.80000000000001,9.972386993222218,76.80000000000001,9.972386993222218,77.39224055412916,6.546117935040463,72.81534156465665,7.674785295918305,77.39224055412916,6.546117935040463,83.02904875932629,20.62806135646722,3.4770775851293414,4.599616984685446,3.4770775851293414,12.342789173504544,76.2698333213285,10.907578025142604,72.83523582164169,7.6728253522737635,76.2698333213285,10.907578025142604,82.06950906499195,13.674673911085447,1.0750158014456774,4.583376346157371,1.0750158014456774,6.440081847943659,61.257969917523475,16.179093841212204,59.227853708802705,13.770432135021274,61.257969917523475,16.179093841212204,49.715640605571984,15.83847770033498,16.735528344856384,17.977916235714936,16.735528344856384,27.712335592486905,0.8000000000000043,-0.5295006532127964,0.6673148131991393,-0.5932266600976012,80.45396779791746,5.294731385722693,5.935650145568673,78.31075872726565,6.1707019702451325,4.090867994196045
97,77.60000000000001,9.440558940425294,77.60000000000001,9.440558940425294,78.12211054435978,12.148303688756119,73.63781385613315,7.221934354147519,78.12211054435978,12.148303688756119,77.57348057375806,15.582465757782963,2.7576223531594795,4.54105869742803,2.7576223531594795,6.14196406966638,76.75905943691346,9.397972020390048,73.65759591541067,7.220768660325242,76.75905943691346,9.397972020390048,82.2715839962931,14.446020422983768,0.8420182161939305,4.524380493925483,0.8420182161939305,6.846776006836957,62.080429361882786,15.98251332741819,59.93062345427989,13.451063720975027,62.080429361882786,15.98251332741819,50.40814728765678,15.832113603868304,16.842037881236518,18.118802833224287,16.842037881236518,27.93293441344013,0.7999999999999972,-0.533893649393403,0.6254792683072096,-0.5170867383044492,81.07944706622466,4.777644647418244,5.818016980947097,79.00931150091925,9.937105976354756,1.494228183884104
98,78.4,8.904599694435412,78.4,8.904599694435412,78.41022691328493,8.675520003930176,74.47018954950268,6.768501545240481,78.41022691328493,8.675520003930176,87.09561936956749,10.299147361050782,0.22930785934483783,4.472843109235112,0.22930785934483783,8.806733754057717,77.55090595987541,8.354834049253162,74.48980996622679,6.7681261862378905,77.55090595987541,8.354834049253162,83.35340409970819,15.11183627749317,1.0115349492715353,4.455794558936625,1.0115349492715353,7.941410339042831,62.876822673638785,15.626156147021183,60.63970837450754,13.12515963028459,62.876822673638785,15.626156147021183,51.31984259207802,15.694617639800908,16.915920177482292,18.254892078416486,16.915920177482292,27.91843958634181,0.7999999999999972,-0.5377611807011888,0.8869100918117176,-0.5830251454457598,81.96635715803637,4.194619501972484,5.9078605934864745,79.47706598671036,7.331249853342868,1.906698943775413
99,79.2,8.365036579022917,79.2,8.365036579022917,78.7308257332497,10.84066920296984,75.31238772239271,6.3148821682729075,78.7308257332497,10.84066920296984,83.44949934949342,14.42211820772626,2.51969866875605,4.395072505536246,2.51969866875605,7.399086604312761,78.67113465461979,7.951879976681774,75.33179745573973,6.315292702487698,78.67113465461979,7.951879976681774,83.91753494016253,14.854895348106018,0.6711161833857142,4.377720969044882,0.6711161833857142,8.023303730652295,63.65000621055743,15.39277283636031,61.35527996053632,12.79302935405865,63.65000621055743,15.39277283636031,52.11802190626413,15.663005639347118,17.06433074440358,18.385895499066812,17.06433074440358,28.048063923826167,0.7999999999999972,-0.5410997666190336,0.7731235348141143,-0.5244957258979595,82.73948069285049,3.670123776074525,5.879636876742484,79.93342222112994,8.689505574901245,0.8019902017689918
100,80.0,7.822400161197344,80.0,7.822400161197344,77.16925851589917,4.63354484360861,76.16430290134744,5.861469298606508,77.16925851589917,4.63354484360861,82.85589915104076,17.260503054142816,4.264023403585315,4.3078790698524605,4.264023403585315,9.860727467014847,79.15730678425231,7.913199779604589,76.18345343709237,5.86266076947985,79.15730678425231,7.913199779604589,83.68456115912012,12.98979697276027,0.8475708976658407,4.290292082165423,0.8475708976658407,6.346493578618615,64.30932202034062,14.868059711960658,62.077496155026665,12.454986463238756,64.30932202034062,14.868059711960658,52.88139599453695,15.702679430833323,17.199962033871767,18.511536941025337,17.199962033871767,28.240352061767414,0.8000000000000043,-0.543906402644958,0.926308203390779,-0.3337928592493784,83.66578889624127,3.3363309168251467,5.793343205534081,79.11821763000181,4.244380665573571,3.6850730873489375
101,80.80000000000001,7.2772237737330006,80.80000000000001,7.2772237737330006,79.95870935446929,6.078473727825455,77.02580532545639,5.408653530371876,79.95870935446929,6.078473727825455,89.86886889186975,14.876547990618445,1.4645038828288703,4.211424960239478,1.4645038828288703,11.831910730362372,79.83663793172491,6.853683334291348,77.04464879723325,5.410620478187329,79.83663793172491,6.853683334291348,84.23696472347115,12.538156636950394,1.052355918134978,4.1936702921264235,1.052355918134978,6.284118164202975,65.07251713751086,14.439405927514375,62.80650083266942,12.111348289200341,65.07251713751086,14.439405927514375,53.799715360747136,15.682168364757242,17.28150949407587,18.631553132140354,17.28150949407587,28.27823304555754,0.8000000000000043,-0.5461785629959808,0.533316810271937,-0.6456656777910322,84.19910570651321,2.6906652390341144,5.708803622149721,81.23082826008246,5.062131181188053,2.256601024380067
102,81.60000000000001,6.730043035205383,81.60000000000001,6.730043035205383,80.91457096694647,6.740530434641749,77.89674127068908,4.956822724856289,80.91457096694647,6.740530434641749,83.55032848608184,10.915423708953648,0.6855092595287431,4.10590251774834,0.6855092595287431,4.617487692220492,80.75062004605978,6.51825975049447,77.91523057963197,4.959559198672251,80.75062004605978,6.51825975049447,84.75145257722207,12.58902574821138,0.8753847530306026,4.088048274752209,0.8753847530306026,6.652768730219222,65.84510414350436,14.063946329245411,63.54242332133496,11.762435607513194,65.84510414350436,14.063946329245411,54.538157741648966,15.563852609113699,17.378230087536387,18.745694185804023,17.378230087536387,28.46716526112055,0.7999999999999972,-0.5479142028811537,0.9368396953205749,-0.6415600452660307,85.13594540183378,2.0491051937680838,5.866352270376291,82.18098329741267,5.33310286237965,1.5129386763272574
103,82.4,6.181395367970693,82.4,6.181395367970693,80.79544546155677,6.275356555500177,78.77693343412518,4.506361764863363,80.79544546155677,6.275356555500177,81.3982322920296,7.57237272904697,1.6073033228363418,3.9915346562818046,1.6073033228363418,1.7141635160506112,82.15655519879854,5.311992871660223,78.7950223665908,4.5098613345568905,82.15655519879854,5.311992871660223,84.7915407943761,12.257440232456641,0.9028433262880646,3.9736494261876265,0.9028433262880646,6.529761754184538,66.57420047960919,13.684113377832837,64.28537796493063,11.408572325021174,66.57420047960919,13.684113377832837,55.20468097259421,15.365546868014388,17.514185907289896,18.8537240462923,17.514185907289896,28.704250831159737,0.7999999999999972,-0.5491117603417317,1.2197455890903943,-0.765486557487119,86.35569099092417,1.2836186362809647,6.295689646826625,82.46351912036698,4.777835179734413,1.4049967546774111
104,83.2,5.631819514521919,83.2,5.631819514521919,82.87742857666798,4.731688571563432,79.66618137711939,4.0576523150998804,82.87742857666798,4.731688571563432,81.44030552421515,12.420983407113841,0.956184102368253,3.868575504129922,0.956184102368253,7.01350632769242,83.4108262144792,5.178366595078487,79.68382472019707,4.061908083500529,83.4108262144792,5.178366595078487,86.72983132058904,11.289686785162603,0.5000672383424057,3.850728567368634,0.5000672383424057,6.668670872370177,67.36927073528885,13.24752458466263,65.03546372884713,11.050085170392993,67.36927073528885,13.24752458466263,55.85554813355367,15.292496590278846,17.567326283983828,18.955420878039618,17.567326283983828,29.00082290967716,0.7999999999999972,-0.5497701576568326,0.826306102785275,-0.5710692276680704,87.18199709370946,0.7125494086128943,6.328942978823613,84.16879913178042,3.5259468226782706,2.3180318272170686
